audio,split
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/01 Incidences_Résonances_part001_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/01 Incidences_Résonances_part012_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/01 Incidences_Résonances_part013_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/02 Accidents_Harmoniques_part002_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/02 Accidents_Harmoniques_part007_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/03 Géologie Sonore_part001_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/03 Géologie Sonore_part006_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/03 Géologie Sonore_part007_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/03 Géologie Sonore_part014_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part001_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part002_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part003_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part004_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part005_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part006_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part007_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part008_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part009_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part010_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part011_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/04 Dynamique De La Résonance_part012_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/05 Étude Élastique_part001_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/05 Étude Élastique_part002_000.wav,train
/home/alels_star/Desktop/AI_composition_assistant/v0.01/musicgen_wav_generator/retrain_models/musicgen-dreamboothing/punk_dataset/audio/train/05 Étude Élastique_part003_000.wav,train
